# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0.05269       	2.016009e-04	5.360771e-04	1.590896e-04	1.400534e-04	2.515446e-04
0.0527        	2.007996e-04	5.364302e-04	1.593141e-04	1.399856e-04	2.513257e-04
0.05271       	2.022743e-04	5.371847e-04	1.595879e-04	1.399584e-04	2.510787e-04
0.05272       	2.015200e-04	5.376089e-04	1.597953e-04	1.398826e-04	2.507552e-04
0.05273       	2.029485e-04	5.382836e-04	1.600455e-04	1.398713e-04	2.503715e-04
0.05274       	2.023673e-04	5.386199e-04	1.602140e-04	1.398027e-04	2.499562e-04
0.05275       	2.036306e-04	5.393301e-04	1.604702e-04	1.397940e-04	2.493562e-04
0.05276       	2.030246e-04	5.396620e-04	1.606690e-04	1.397367e-04	2.487273e-04
0.05277       	2.046773e-04	5.404146e-04	1.609715e-04	1.397298e-04	2.480431e-04
0.05278       	2.043984e-04	5.407202e-04	1.611121e-04	1.397759e-04	2.473703e-04
0.05279       	2.055169e-04	5.413158e-04	1.625991e-04	1.398712e-04	2.465714e-04
0.0528        	2.042325e-04	5.414606e-04	1.637717e-04	1.399256e-04	2.458199e-04
0.05281       	2.057106e-04	5.420378e-04	1.649685e-04	1.400274e-04	2.450570e-04
0.05282       	2.048292e-04	5.423136e-04	1.658546e-04	1.400125e-04	2.442925e-04
0.05283       	2.062470e-04	5.430611e-04	1.668338e-04	1.400638e-04	2.434870e-04
0.05284       	2.047607e-04	5.431488e-04	1.674793e-04	1.400041e-04	2.426635e-04
0.05285       	2.064539e-04	5.431429e-04	1.668784e-04	1.398708e-04	2.417723e-04
0.05286       	2.061314e-04	5.431420e-04	1.670107e-04	1.397968e-04	2.409382e-04
0.05287       	2.076772e-04	5.438696e-04	1.675921e-04	1.398308e-04	2.401647e-04
0.05288       	2.071637e-04	5.442725e-04	1.678268e-04	1.397779e-04	2.393731e-04
0.05289       	2.076771e-04	5.458607e-04	1.684004e-04	1.398152e-04	2.386805e-04
0.0529        	2.066053e-04	5.467057e-04	1.685472e-04	1.397482e-04	2.378819e-04
0.05291       	2.074007e-04	5.481034e-04	1.690842e-04	1.397796e-04	2.371211e-04
0.05292       	2.068630e-04	5.488605e-04	1.691274e-04	1.397236e-04	2.362134e-04
0.05293       	2.077876e-04	5.501784e-04	1.696256e-04	1.397766e-04	2.354639e-04
0.05294       	2.079178e-04	5.509149e-04	1.696124e-04	1.397283e-04	2.346857e-04
0.05295       	2.092445e-04	5.519702e-04	1.701041e-04	1.397783e-04	2.340357e-04
0.05296       	2.094941e-04	5.524412e-04	1.700560e-04	1.397446e-04	2.334817e-04
0.05297       	2.109907e-04	5.539311e-04	1.692366e-04	1.397641e-04	2.326628e-04
0.05298       	2.119363e-04	5.542578e-04	1.690625e-04	1.397445e-04	2.321674e-04
